LSOA21CD,Index of Multiple Deprivation (IMD) Score,pop_65plus
E01034475,33.8,0.09716157205240175
E01034476,33.8,0.011111111111111112
E01034477,33.8,0.006357279084551812
E01034478,33.8,0.0
E01000093,46.9,0.0621152770005596
E01000094,28.2,0.016260162601626018
E01000095,32.3,0.049349484073575596
E01000096,40.9,0.04665071770334928
E01000097,38.0,0.1111111111111111
E01000098,39.4,0.08006198347107438
E01000099,29.3,0.05903658094893155
E01000100,31.8,0.08311954848640328
E01000101,40.5,0.10842663523865645
E01000102,42.6,0.10647639956092206
E01000103,32.9,0.07718120805369127
E01000104,34.7,0.07871104067617539
E01000105,44.1,0.10030395136778116
E01000106,43.5,0.09982094897045658
E01000107,28.3,0.15809839690436706
E01000108,28.2,0.11834016393442623
E01034469,25.7,0.03518728717366629
E01034470,25.7,0.07619689817936615
E01000110,17.7,0.12210394489668128
E01000111,28.9,0.12442607897153352
E01000112,24.7,0.09979939819458375
E01000113,25.3,0.089944416371905
E01000114,23.3,0.08061821219715956
E01032580,34.1,0.0717005076142132
E01033587,35.0,0.02044989775051125
E01034479,35.2,0.04353741496598639
E01000115,6.2,0.23297491039426524
E01000116,7.8,0.18440954043048283
E01000117,9.6,0.21714285714285714
E01000118,9.8,0.16859903381642513
E01000119,11.6,0.19414743950478333
E01000120,5.9,0.20629604822505024
E01000121,36.2,0.12635869565217392
E01000122,10.2,0.1807465618860511
E01000123,11.0,0.13375071143995446
E01000124,23.6,0.12266666666666666
E01033913,26.7,0.09311475409836066
E01033914,26.7,0.09045226130653267
E01000126,33.6,0.06386779812416257
E01000127,27.5,0.09584664536741214
E01000128,27.1,0.10405471421592574
E01000129,31.0,0.12083071113908118
E01000130,30.9,0.09707724425887265
E01000131,20.9,0.1344327836081959
E01000132,25.5,0.07205513784461152
E01000133,30.8,0.1024713682941531
E01000134,24.7,0.09961685823754789
E01000135,12.5,0.19988276670574442
E01000136,9.0,0.20701513067400276
E01000137,28.8,0.09595654797827399
E01000138,27.9,0.135625
E01000139,12.4,0.15965787598004277
E01000140,16.8,0.09780334728033473
E01000141,28.8,0.09672219236969372
E01000142,16.7,0.1289437585733882
E01000143,31.3,0.09014925373134329
E01000144,18.3,0.11473429951690821
E01000145,14.6,0.168
E01000146,18.5,0.11135018827326519
E01000147,12.8,0.15616999487967229
E01033923,27.7,0.07133507853403141
E01033924,27.7,0.08043758043758044
E01000150,15.6,0.1371326803205699
E01000151,38.9,0.04825581395348837
E01000152,32.4,0.05221932114882506
E01000153,41.6,0.10906217070600632
E01000154,32.7,0.0824524312896406
E01033916,20.8,0.04187889077532541
E01033921,20.8,0.012468827930174564
E01033922,20.8,0.006035003017501509
E01000156,8.3,0.10885700148441366
E01000157,12.7,0.11041009463722397
E01000158,19.7,0.14507422402159245
E01000159,16.3,0.17052512704686618
E01000160,12.1,0.10359187922956793
E01000161,14.5,0.15854870775347912
E01000162,18.5,0.24043062200956938
E01000163,28.5,0.08222490931076179
E01000164,25.3,0.09848484848484848
E01000165,13.3,0.1622385528547202
E01000166,14.9,0.19491525423728814
E01000167,28.4,0.11918604651162791
E01000168,7.0,0.24616410940627084
E01000169,13.2,0.15207945375543142
E01000170,20.4,0.1253291205897841
E01000171,24.3,0.06595838866755202
E01000172,8.4,0.1827893175074184
E01000173,9.7,0.14034021871202917
E01000174,16.3,0.13352272727272727
E01000175,7.6,0.15532544378698224
