LSOA21CD,pop_centroid_x,pop_centroid_y
E01000001,-0.09650204000489503,51.51924844182649
E01000002,-0.09242006222454129,51.519393128245525
E01000003,-0.09610190803664617,51.5216168275305
E01000005,-0.07635494035382934,51.51445554789504
E01000006,0.08807250959426381,51.53899696691747
E01000007,0.07688740752223955,51.54063016009583
E01000008,0.07075808125706519,51.5407669676399
E01000009,0.08329415063423505,51.54062565152383
E01000011,0.08055862294006368,51.54295380839233
E01000012,0.07371328922316106,51.54278563891739
E01000013,0.146990883289289,51.54313169969021
E01000014,0.1421801896106901,51.543879012095424
E01000015,0.15521939840998633,51.5441010036165
E01000016,0.15124813722666075,51.549265055250245
E01000017,0.1461786703686827,51.549465904019755
E01000018,0.15185061003362127,51.5463663513218
E01000019,0.12059057497745049,51.55836908475265
E01000020,0.12479164772836432,51.55579341794246
E01000021,0.11607059070351483,51.554619889119664
E01000022,0.12120029379202259,51.554017942680154
E01000024,0.12053200694432059,51.55119610847918
E01000025,0.118107300789878,51.54942693767646
E01000027,0.13793819365293855,51.588024357327775
E01000028,0.12956988380210957,51.584847434017924
E01000029,0.13465990278118992,51.580024201844424
E01000030,0.13703502897489753,51.58321878563121
E01000031,0.1400133053987529,51.57615915710492
E01000032,0.1350414644515815,51.57470697359644
E01000033,0.16248073740213256,51.55465307607157
E01000034,0.16909555759995926,51.55580084634057
E01000035,0.16323540281026308,51.54887894139068
E01000036,0.1635901720559713,51.5461479431557
E01000037,0.17954076015998746,51.56238988829343
E01000038,0.17277582738220618,51.56311227283313
E01000039,0.17964736733452988,51.55782181336004
E01000040,0.09733928365060383,51.53642568880617
E01000041,0.11619970984880273,51.5380243209424
E01000042,0.10604769612867401,51.537433587086205
E01000043,0.09946547503747175,51.533887606824166
E01000044,0.09067345918878915,51.535914991186104
E01000045,0.1121574126294388,51.53482580294928
E01000046,0.1200877408131683,51.536507360093886
E01000049,0.08542840695047606,51.530491790411894
E01000050,0.08615849735713214,51.534556893129356
E01000051,0.08215829250945918,51.5342784151337
E01000052,0.09233697201133784,51.53257995276308
E01000053,0.14364929038020566,51.53292854026702
E01000054,0.13236726293145137,51.53688895857431
E01000055,0.12639550405256927,51.53586103113361
E01000056,0.13684156357956945,51.534202813348244
E01000057,0.12616630054663666,51.537807403871895
E01000058,0.13594268973659418,51.53943568614518
E01000059,0.1418703957538769,51.53631762969034
E01000060,0.15403750057455934,51.5577133846429
E01000061,0.15402194579467085,51.56125369238796
E01000062,0.1525962142127377,51.553850349301236
E01000063,0.14532436240778282,51.556181294004205
E01000064,0.1570055561955861,51.553459705047786
E01000065,0.14334790360907268,51.55271785240507
E01000066,0.10591916991728594,51.54671566618621
E01000067,0.10122840080122476,51.54703958408298
E01000068,0.08979823760715312,51.54148212377197
E01000069,0.09949690221002001,51.54300391463799
E01000070,0.09345940705366806,51.543900796091975
E01000071,0.09956512716779366,51.539602535913595
E01000072,0.1138314773061246,51.542625525815005
E01000073,0.11599617624696322,51.545720764820985
E01000074,0.12042121083063,51.54594270631263
E01000075,0.1258517660041171,51.54196767420073
E01000076,0.12024941037746249,51.5412297365347
E01000077,0.12573021604519058,51.54949851881911
E01000078,0.13239474072937993,51.55228181459326
E01000079,0.14082594498064704,51.54699499934671
E01000080,0.1317491870142634,51.54856416982312
E01000081,0.1382480030857143,51.550184109962764
E01000082,0.13828912079450292,51.55415116071485
E01000083,0.12859306139385587,51.553599308273995
E01000084,0.14550028883265745,51.53977828420418
E01000085,0.15031934142392547,51.537826157672164
E01000086,0.14609973006808816,51.536751994339916
E01000087,0.15034223809089875,51.53212873627431
E01000088,0.15526517221181504,51.533547825029096
E01000089,0.16036898701101027,51.53049444972437
E01000090,0.15817167168902668,51.52755342852854
E01000091,0.10902319668395231,51.52770294712607
E01000093,0.1017907933388173,51.528905670459444
E01000094,0.11521725185566442,51.524689216730465
E01000095,0.12739188243977295,51.527863942617074
E01000096,0.11416236624885025,51.5316540494129
E01000097,0.12905750334997979,51.56370499533396
E01000098,0.12699268030735258,51.56103239584596
E01000099,0.13280770686010668,51.56183331675153
E01000100,0.13880242380150917,51.55942154952967
E01000101,0.14430700157624368,51.55930067174862
E01000102,0.1322365617337481,51.55696867891289
E01000103,0.1659635563595867,51.535666903819944
E01000104,0.16676316481123854,51.539014670200345
E01000105,0.1532130872970297,51.540366388606245
E01000106,0.15924339029023352,51.54024497594514
E01000107,0.1734659632130353,51.541477643140325
E01000108,0.16590910956538865,51.542505326582635
E01000110,0.14554731835794663,51.57344299865229
E01000111,0.14540148004476744,51.56903469891962
E01000112,0.13859571536200113,51.57031035900168
E01000113,0.13362396872463017,51.56989691088865
E01000114,0.1486078816935953,51.56453564061191
E01000115,-0.1416920973243939,51.63622980015873
E01000116,-0.146478677174523,51.6337887210353
E01000117,-0.1568081870754589,51.632807397923806
E01000118,-0.15217487448793335,51.631122198242494
E01000119,-0.13550111513867405,51.63000323218838
E01000120,-0.14012031838220257,51.63213216194751
E01000121,-0.14856689671288317,51.62694162520484
E01000122,-0.13761260022838104,51.625911433557555
E01000123,-0.1445237447146547,51.62246911416509
E01000124,-0.14413681864075098,51.618758953916085
E01000126,-0.2514657542031633,51.60105607070366
E01000127,-0.25949464088055735,51.606303056797806
E01000128,-0.25922129976484415,51.601471990899086
E01000129,-0.26415427980606265,51.601026755116436
E01000130,-0.25389118708169456,51.60414495677292
E01000131,-0.2561489222624478,51.597810215319655
E01000132,-0.2573299856470071,51.60879752538334
E01000133,-0.2519008847507487,51.607667484685166
E01000134,-0.2656027225843457,51.607692589140136
